epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1056.02,0.75608,0.41973,1.2309,0.99344,0.99628,0.995,0.75047,1.00454,0.47068,1.38818,0.000471311,0.000471311,0.000471311
105,1065.76,0.76771,0.42418,1.22775,0.99559,0.99783,0.995,0.74284,0.99632,0.47463,1.38293,0.000468955,0.000468955,0.000468955
106,1075.42,0.78499,0.42429,1.23892,0.99454,0.99989,0.995,0.74384,0.98839,0.46636,1.38424,0.000466599,0.000466599,0.000466599
107,1085.28,0.74413,0.41839,1.20321,0.99554,0.99981,0.995,0.74283,1.03659,0.46142,1.42429,0.000464243,0.000464243,0.000464243
108,1094.79,0.75516,0.42254,1.22979,0.9967,0.99985,0.995,0.72924,1.02974,0.4664,1.42714,0.000461887,0.000461887,0.000461887
109,1104.51,0.71283,0.41346,1.19286,0.99478,0.9984,0.995,0.73867,1.02001,0.47581,1.40902,0.00045953,0.00045953,0.00045953
110,1114.32,0.76442,0.42474,1.22691,0.99619,0.99845,0.995,0.75183,0.97756,0.47018,1.3844,0.000457174,0.000457174,0.000457174
111,1124.11,0.74068,0.41503,1.20743,0.99396,0.99821,0.995,0.75853,0.97634,0.45742,1.38163,0.000454818,0.000454818,0.000454818
112,1133.85,0.76064,0.41963,1.23261,0.99721,0.99884,0.995,0.75065,0.99517,0.46371,1.3951,0.000452462,0.000452462,0.000452462
113,1143.6,0.74893,0.42338,1.22652,0.99564,0.99895,0.995,0.74195,1.0304,0.46975,1.41861,0.000450106,0.000450106,0.000450106
114,1153.26,0.73341,0.40703,1.20591,0.99572,0.99723,0.995,0.76005,0.97841,0.45721,1.38119,0.000447749,0.000447749,0.000447749
115,1162.99,0.73323,0.41661,1.21652,0.99617,0.99905,0.995,0.74715,1.0089,0.46405,1.41281,0.000445393,0.000445393,0.000445393
116,1172.71,0.71784,0.41224,1.19799,0.99782,0.99751,0.995,0.74704,0.99777,0.46925,1.40639,0.000443037,0.000443037,0.000443037
117,1182.47,0.71915,0.40476,1.20383,0.99657,0.99978,0.995,0.7532,0.97934,0.4576,1.38494,0.000440681,0.000440681,0.000440681
118,1192.29,0.71139,0.40376,1.1914,0.99623,0.9997,0.995,0.74021,1.05124,0.46717,1.42207,0.000438325,0.000438325,0.000438325
119,1202.1,0.72135,0.40386,1.20018,0.99681,0.99933,0.995,0.75143,0.99462,0.45584,1.39911,0.000435968,0.000435968,0.000435968
120,1211.77,0.70417,0.40551,1.17927,0.99604,0.99874,0.995,0.75107,0.9784,0.45298,1.38277,0.000433612,0.000433612,0.000433612
121,1221.52,0.71472,0.40375,1.1922,0.99213,0.99668,0.99494,0.74169,1.01253,0.47119,1.41141,0.000431256,0.000431256,0.000431256
122,1231.26,0.72206,0.40617,1.18086,0.99735,1,0.995,0.75195,0.99956,0.46523,1.39278,0.0004289,0.0004289,0.0004289
123,1241.06,0.70961,0.40198,1.18166,0.9965,0.99974,0.995,0.74271,0.99711,0.45601,1.39917,0.000426544,0.000426544,0.000426544
124,1250.83,0.7316,0.40417,1.19336,0.99576,0.99726,0.995,0.74628,1.00252,0.45186,1.38635,0.000424187,0.000424187,0.000424187
125,1260.7,0.70937,0.40573,1.18638,0.99727,0.99977,0.995,0.73483,1.01295,0.46514,1.41121,0.000421831,0.000421831,0.000421831
126,1270.37,0.70452,0.40451,1.16557,0.99679,0.99752,0.995,0.73651,1.05078,0.47655,1.42228,0.000419475,0.000419475,0.000419475
127,1280.09,0.72184,0.39853,1.17833,0.99426,1,0.995,0.74493,1.00441,0.46325,1.40263,0.000417119,0.000417119,0.000417119
128,1289.97,0.69977,0.3947,1.15832,0.99705,0.99941,0.995,0.74816,0.99051,0.44263,1.38358,0.000414763,0.000414763,0.000414763
129,1299.74,0.70537,0.39997,1.18339,0.9952,0.99943,0.995,0.75,0.98889,0.46058,1.38224,0.000412406,0.000412406,0.000412406
130,1309.46,0.67088,0.38517,1.15172,0.99436,0.99809,0.995,0.74754,1.00259,0.45796,1.39776,0.00041005,0.00041005,0.00041005
131,1319.23,0.68071,0.3924,1.15949,0.99825,1,0.995,0.75092,0.9986,0.4583,1.41052,0.000407694,0.000407694,0.000407694
