epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,524.408,1.07276,0.67004,1.47924,0.98549,0.98238,0.99296,0.70963,1.09071,0.64261,1.49701,0.000636245,0.000636245,0.000636245
57,533.206,0.94776,0.64545,1.40557,0.97974,0.99418,0.99488,0.67727,1.17277,0.63592,1.53028,0.000634832,0.000634832,0.000634832
58,541.745,0.93771,0.62768,1.39094,0.99313,0.99412,0.995,0.6666,1.20905,0.62393,1.57178,0.000633418,0.000633418,0.000633418
59,550.513,0.99765,0.62773,1.43741,0.9904,0.9948,0.99488,0.69121,1.11649,0.62866,1.52446,0.000632004,0.000632004,0.000632004
60,559.314,0.90762,0.60539,1.38772,0.9738,0.99074,0.99431,0.70529,1.07355,0.65405,1.48275,0.000630591,0.000630591,0.000630591
61,567.989,0.91623,0.64513,1.37042,0.9869,0.99626,0.9947,0.73009,1.02719,0.60248,1.45395,0.000629177,0.000629177,0.000629177
62,576.687,0.92164,0.59425,1.37133,0.99071,0.98845,0.99421,0.72334,1.04546,0.59213,1.4608,0.000627763,0.000627763,0.000627763
63,585.655,0.92937,0.61313,1.38155,0.99046,0.9926,0.99494,0.69557,1.07216,0.62531,1.47915,0.000626349,0.000626349,0.000626349
64,594.39,0.92374,0.60543,1.33449,0.99163,0.98877,0.99464,0.70534,1.09014,0.60145,1.48498,0.000624936,0.000624936,0.000624936
65,603.044,0.93984,0.59783,1.36859,0.98812,0.97296,0.99309,0.6873,1.17728,0.67531,1.55623,0.000623522,0.000623522,0.000623522
66,611.67,0.89337,0.57835,1.33133,0.98202,0.97199,0.99273,0.71021,1.09166,0.65963,1.49466,0.000622108,0.000622108,0.000622108
67,620.219,0.91645,0.58826,1.35567,0.98109,0.99096,0.99445,0.72424,1.05146,0.61641,1.46123,0.000620694,0.000620694,0.000620694
68,628.815,0.91386,0.60525,1.36693,0.97599,0.99663,0.99453,0.72337,1.04747,0.58793,1.45983,0.000619281,0.000619281,0.000619281
69,637.493,0.91829,0.58908,1.36392,0.99033,0.99403,0.995,0.73229,1.01055,0.55215,1.43036,0.000617867,0.000617867,0.000617867
