epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,945.056,0.83286,0.47802,1.30248,0.98993,0.99317,0.995,0.74988,0.99464,0.48241,1.40237,0.000506654,0.000506654,0.000506654
90,955.303,0.83896,0.46708,1.31473,0.99467,0.99914,0.995,0.68855,1.16564,0.52246,1.52566,0.000504298,0.000504298,0.000504298
91,965.765,0.81999,0.46922,1.30646,0.99342,0.99947,0.995,0.73444,1.03088,0.48783,1.41357,0.000501942,0.000501942,0.000501942
92,975.997,0.80098,0.45725,1.27686,0.99296,0.9999,0.995,0.72526,1.08357,0.485,1.46033,0.000499586,0.000499586,0.000499586
93,986.376,0.80237,0.44631,1.28279,0.99681,0.99823,0.995,0.74677,1.01249,0.49532,1.40319,0.00049723,0.00049723,0.00049723
94,996.895,0.79703,0.46033,1.28305,0.99417,0.99842,0.995,0.73784,0.98928,0.50037,1.39837,0.000494873,0.000494873,0.000494873
95,1007.42,0.825,0.47775,1.29829,0.99012,0.99753,0.995,0.739,1.01687,0.49968,1.4306,0.000492517,0.000492517,0.000492517
96,1017.98,0.77303,0.45125,1.2516,0.99607,0.99874,0.995,0.7503,0.98392,0.48678,1.39061,0.000490161,0.000490161,0.000490161
97,1028.33,0.77808,0.44869,1.26992,0.99153,0.99992,0.99492,0.74333,0.97247,0.48963,1.38949,0.000487805,0.000487805,0.000487805
98,1038.85,0.79127,0.45021,1.28907,0.97977,1,0.99396,0.73152,1.00913,0.49663,1.40657,0.000485449,0.000485449,0.000485449
99,1049.22,0.77041,0.46025,1.25635,0.99461,1,0.995,0.7456,0.99393,0.48223,1.40286,0.000483092,0.000483092,0.000483092
100,1059.51,0.77665,0.45806,1.2652,0.99735,1,0.995,0.7359,1.01779,0.48507,1.41791,0.000480736,0.000480736,0.000480736
101,1069.72,0.82139,0.45522,1.30732,0.99509,0.99262,0.995,0.73367,1.02564,0.48813,1.4077,0.00047838,0.00047838,0.00047838
102,1080.18,0.80239,0.44045,1.28105,0.99731,0.9968,0.995,0.74576,0.97983,0.4734,1.39236,0.000476024,0.000476024,0.000476024
